Date,High,Low,Open,Close,Volume,Adj Close
1997-04-11,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-14,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-15,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-16,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-17,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-21,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-22,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-23,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-24,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-25,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-28,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-29,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-04-30,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-02,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-05,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-06,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-07,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-08,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-09,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-12,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-13,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-14,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-15,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-16,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-19,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-20,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-21,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-22,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-23,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-27,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-28,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-29,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-05-30,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-06-02,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-06-03,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-06-04,22.5,22.5,22.5,22.5,0.0,16.766510009765625
1997-06-05,22.25,22.25,22.25,22.25,400.0,16.58021354675293
1997-06-10,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-11,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-12,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-13,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-16,22.25,22.25,22.25,22.25,0.0,16.58021354675293
1997-06-17,22.25,22.25,22.25,22.25,0.0,16.58021354675293
