Date,High,Low,Open,Close,Volume,Adj Close
1996-01-24,3.3125,2.65625,3.21875,2.75,37326400.0,2.4129390716552734
1996-01-25,2.8125,2.460937976837158,2.777343988418579,2.59375,8926400.0,2.2758398056030273
1996-01-26,2.59375,2.375,2.578125,2.429687976837158,3888000.0,2.131887674331665
1996-01-29,2.46875,2.1875,2.40625,2.21875,3508000.0,1.9468032121658325
1996-01-30,2.3125,2.1875,2.28125,2.1875,1336800.0,1.9193837642669678
1996-01-31,2.25,2.03125,2.25,2.078125,5098400.0,1.8234145641326904
1996-02-01,2.453125,2.09375,2.109375,2.375,3980000.0,2.08390212059021
1996-02-02,2.5,2.296875,2.40625,2.34375,2717600.0,2.0564820766448975
1996-02-05,2.375,2.203125,2.34375,2.359375,1120800.0,2.070192337036133
1996-02-06,2.421875,2.304687976837158,2.375,2.390625,980800.0,2.097611427307129
1996-02-07,2.40625,2.234375,2.40625,2.28125,1250400.0,2.0016427040100098
1996-02-08,2.296875,2.171875,2.28125,2.171875,924000.0,1.905673623085022
1996-02-09,2.25,2.171875,2.171875,2.25,548800.0,1.9742228984832764
1996-02-12,2.40625,2.261718988418579,2.265625,2.34375,877600.0,2.0564820766448975
1996-02-13,2.375,2.234375,2.28125,2.296875,538400.0,2.015352487564087
1996-02-14,2.328125,2.140625,2.296875,2.1875,1645600.0,1.9193837642669678
1996-02-15,2.234375,2.140625,2.1875,2.234375,1184800.0,1.9605132341384888
1996-02-16,2.375,2.171875,2.234375,2.34375,1216000.0,2.0564820766448975
1996-02-20,2.5625,2.3125,2.359375,2.5,1771200.0,2.1935808658599854
1996-02-21,2.515625,2.4375,2.5,2.515625,2142400.0,2.2072911262512207
1996-02-22,2.515625,2.140625,2.484375,2.234375,4717600.0,1.9605132341384888
1996-02-23,2.265625,2.078125,2.21875,2.140625,2965600.0,1.8782535791397095
1996-02-26,2.109375,2.015625,2.109375,2.0625,2172800.0,1.8097050189971924
1996-02-27,2.078125,1.53125,2.03125,1.765625,8036000.0,1.5492167472839355
1996-02-28,1.90625,1.5625,1.890625,1.625,3246400.0,1.425827980041504
1996-02-29,1.734375,1.5,1.609375,1.546875,1889600.0,1.3572782278060913
1996-03-01,1.546875,1.359375,1.515625,1.375,2236800.0,1.2064695358276367
1996-03-04,1.453125,1.390625,1.40625,1.40625,977600.0,1.2338895797729492
1996-03-05,1.421875,1.390625,1.421875,1.421875,838400.0,1.2475990056991577
1996-03-06,1.46875,1.40625,1.4199219942092896,1.4375,1104800.0,1.2613089084625244
1996-03-07,1.46875,1.4375,1.453125,1.453125,620800.0,1.2750190496444702
1996-03-08,1.421875,1.25,1.421875,1.25,1096000.0,1.0967904329299927
1996-03-11,1.484375,1.25,1.3125,1.484375,1276800.0,1.302438735961914
1996-03-12,1.5,1.375,1.484375,1.453125,1057600.0,1.2750190496444702
1996-03-13,1.625,1.46875,1.625,1.546875,2423200.0,1.3572782278060913
1996-03-14,1.71875,1.53125,1.53125,1.6484379768371582,2293600.0,1.4463928937911987
1996-03-15,1.71875,1.65625,1.6875,1.6875,541600.0,1.4806673526763916
1996-03-18,1.796875,1.703125,1.71875,1.703125,959200.0,1.4943773746490479
1996-03-19,1.75,1.6875,1.75,1.703125,516000.0,1.4943773746490479
1996-03-20,1.765625,1.6875,1.71875,1.734375,530400.0,1.5217971801757812
1996-03-21,1.9375,1.71875,1.734375,1.90625,2733600.0,1.6726057529449463
1996-03-22,2.0625,1.9375,1.9375,2.046875,2570400.0,1.7959948778152466
