Date,High,Low,Open,Close,Volume,Adj Close
1998-11-16,13.0,12.75,12.75,12.9375,73800.0,7.517581939697266
1998-11-17,13.25,12.9375,13.0,13.125,83500.0,7.626535892486572
1998-11-18,14.5625,13.0,13.0,14.5625,147100.0,8.461822509765625
1998-11-19,14.6875,14.125,14.5625,14.625,292600.0,8.498140335083008
1998-11-20,17.125,15.4375,15.4375,17.0625,121600.0,9.914493560791016
1998-11-23,22.1875,18.0,18.0,20.6875,353400.0,12.020873069763184
1998-11-24,24.3125,20.0,20.9375,24.1875,265600.0,14.054615020751953
1998-11-25,30.25,24.9375,24.9375,28.0,528100.0,16.26993751525879
1998-11-27,29.875,26.1875,27.0625,26.375,265100.0,15.325700759887695
1998-11-30,25.375,22.625,25.125,22.75,133400.0,13.21932601928711
1998-12-01,24.75,20.0,22.0,24.75,97000.0,14.381467819213867
1998-12-02,24.75,22.0,24.75,22.75,86100.0,13.21932601928711
1998-12-03,22.75,20.25,20.5,22.5,144200.0,13.074064254760742
1998-12-04,22.75,19.875,22.5,20.625,115000.0,11.984554290771484
1998-12-07,23.25,19.625,20.125,22.75,96000.0,13.21932601928711
1998-12-08,23.0,21.375,23.0,21.625,79800.0,12.565625190734863
1998-12-09,21.625,19.6875,21.5,20.875,83300.0,12.129823684692383
1998-12-10,22.25,20.875,21.125,21.0,50700.0,12.2024564743042
1998-12-11,20.625,19.0,20.5,19.625,127400.0,11.403487205505371
1998-12-14,19.375,17.8125,19.375,17.875,100600.0,10.386615753173828
1998-12-15,18.25,17.25,18.125,18.0,58400.0,10.459248542785645
1998-12-16,18.5,17.0,17.875,17.125,47700.0,9.950814247131348
1998-12-17,18.375,16.875,16.875,18.25,39000.0,10.60451602935791
1998-12-18,18.125,17.8125,18.125,18.0,43100.0,10.459248542785645
1998-12-21,22.125,18.875,19.0,21.4375,56700.0,12.456673622131348
1998-12-22,21.3125,20.75,21.25,21.0625,32900.0,12.238775253295898
1998-12-23,21.0,20.75,21.0,21.0,17000.0,12.2024564743042
1998-12-24,21.125,21.0,21.0,21.0,2400.0,12.2024564743042
1998-12-28,21.125,18.5,21.125,18.875,76300.0,10.967686653137207
1998-12-29,18.5,17.3125,18.5,17.5,46900.0,10.168713569641113
1998-12-30,17.75,16.5,17.75,17.125,38700.0,9.950814247131348
1998-12-31,17.625,16.625,16.875,17.4375,8700.0,10.132397651672363
1999-01-04,18.25,16.5,16.5,17.6875,20200.0,10.746026992797852
1999-01-05,20.125,17.6875,17.6875,19.75,2056000.0,11.9990873336792
1999-01-06,20.625,19.875,20.25,20.125,73600.0,12.226923942565918
1999-01-07,19.875,19.0625,19.3125,19.625,72600.0,11.923148155212402
1999-01-08,20.25,19.5,20.25,20.0,68800.0,12.150979995727539
1999-01-11,19.75,18.6875,19.75,19.25,147500.0,11.695320129394531
1999-01-12,19.75,18.875,19.0,19.75,125100.0,11.9990873336792
1999-01-13,21.0,16.25,16.25,18.4375,56500.0,11.201683044433594
1999-01-14,20.0,17.125,18.6875,19.0,75100.0,11.543428421020508
1999-01-15,20.0,17.8125,19.0,19.625,111800.0,11.923148155212402
1999-01-19,20.25,18.375,20.125,19.0,37300.0,11.543428421020508
1999-01-20,18.5,16.875,18.5,17.625,141800.0,10.708050727844238
1999-01-21,17.375,16.625,17.375,17.0,398300.0,10.32833194732666
1999-01-22,17.75,16.375,16.75,16.5625,313000.0,10.062529563903809
1999-01-25,16.6875,16.1875,16.3125,16.6875,485900.0,10.138472557067871
1999-01-26,17.9375,16.125,16.625,17.0625,287000.0,10.366303443908691
1999-01-27,16.875,16.25,16.875,16.5,244300.0,10.024557113647461
1999-01-28,16.75,15.75,16.375,16.125,50800.0,9.796727180480957
