Date,High,Low,Open,Close,Volume,Adj Close
1993-06-10,14.5,14.25,14.5,14.375,9800.0,2.9290122985839844
1993-06-11,14.5,14.25,14.25,14.5,1500.0,2.9544811248779297
1993-06-14,14.625,14.5,14.5,14.5,21000.0,2.9544811248779297
1993-06-15,14.75,14.75,14.75,14.75,2100.0,3.0054216384887695
1993-06-16,14.5,14.5,14.5,14.5,5000.0,2.9544811248779297
1993-06-17,14.625,14.5,14.625,14.625,2600.0,2.9799513816833496
1993-06-18,14.625,14.625,14.625,14.625,600.0,2.9799513816833496
1993-06-21,14.5,14.5,14.5,14.5,900.0,2.9544811248779297
1993-06-22,14.5,14.5,14.5,14.5,1500.0,2.9544811248779297
1993-06-23,14.375,14.25,14.375,14.375,7200.0,2.9290122985839844
1993-06-24,14.375,14.25,14.25,14.375,2000.0,2.9290122985839844
1993-06-25,14.375,14.375,14.375,14.375,2200.0,2.9290122985839844
1993-06-28,14.5,14.375,14.5,14.375,1900.0,2.9290122985839844
1993-06-29,14.5,14.5,14.5,14.5,300.0,2.9544811248779297
1993-06-30,14.5,14.5,14.5,14.5,0.0,2.9544811248779297
1993-07-01,14.375,14.375,14.375,14.375,700.0,2.9290122985839844
1993-07-02,14.375,14.25,14.25,14.25,7200.0,2.903543472290039
1993-07-06,14.375,14.25,14.25,14.375,3100.0,2.9290122985839844
1993-07-07,14.375,14.375,14.375,14.375,2500.0,2.9290122985839844
1993-07-08,14.625,14.375,14.375,14.625,14800.0,2.9799513816833496
1993-07-09,14.875,14.625,14.625,14.875,3200.0,3.0452587604522705
1993-07-12,14.875,14.75,14.875,14.875,2900.0,3.0452587604522705
1993-07-13,14.875,14.75,14.875,14.75,700.0,3.0196661949157715
1993-07-14,14.875,14.75,14.875,14.875,1100.0,3.0452587604522705
1993-07-15,15.0,15.0,15.0,15.0,4300.0,3.0708494186401367
1993-07-16,15.0,15.0,15.0,15.0,2500.0,3.0708494186401367
1993-07-19,14.875,14.875,14.875,14.875,1000.0,3.0452587604522705
1993-07-20,15.0,14.875,15.0,14.875,3600.0,3.0452587604522705
1993-07-21,14.875,14.75,14.875,14.75,4400.0,3.0196661949157715
1993-07-22,14.875,14.75,14.875,14.75,800.0,3.0196661949157715
1993-07-23,14.75,14.75,14.75,14.75,0.0,3.0196661949157715
1993-07-26,14.875,14.625,14.875,14.75,3100.0,3.0196661949157715
1993-07-27,14.75,14.75,14.75,14.75,300.0,3.0196661949157715
1993-07-28,14.625,14.625,14.625,14.625,200.0,2.9940757751464844
1993-07-29,14.875,14.625,14.625,14.875,4600.0,3.0452587604522705
1993-07-30,14.75,14.75,14.75,14.75,500.0,3.0196661949157715
1993-08-02,14.875,14.75,14.875,14.75,1300.0,3.0196661949157715
1993-08-03,14.875,14.875,14.875,14.875,400.0,3.0452587604522705
1993-08-04,15.0,14.875,14.875,15.0,2800.0,3.0708494186401367
1993-08-05,15.0,14.875,15.0,14.875,2800.0,3.0452587604522705
1993-08-06,14.875,14.75,14.75,14.875,2100.0,3.0452587604522705
1993-08-09,15.0,14.875,15.0,14.875,1000.0,3.059450626373291
1993-08-10,14.875,14.75,14.875,14.875,2600.0,3.059450626373291
1993-08-11,14.875,14.875,14.875,14.875,800.0,3.059450626373291
1993-08-12,15.0,14.75,14.75,15.0,2700.0,3.085160732269287
1993-08-13,15.0,15.0,15.0,15.0,4400.0,3.085160732269287
1993-08-16,14.875,14.75,14.75,14.875,1300.0,3.059450626373291
1993-08-17,14.875,14.875,14.875,14.875,1600.0,3.059450626373291
1993-08-18,14.875,14.75,14.875,14.75,2500.0,3.0337390899658203
1993-08-19,14.75,14.75,14.75,14.75,100.0,3.0337390899658203
1993-08-20,14.75,14.5,14.75,14.5,5400.0,2.9823219776153564
1993-08-23,14.625,14.5,14.5,14.625,4600.0,3.008028745651245
1993-08-24,14.875,14.75,14.75,14.875,4300.0,3.059450626373291
1993-08-25,14.75,14.625,14.75,14.75,3300.0,3.0337390899658203
1993-08-26,15.0,14.75,14.875,15.0,11200.0,3.085160732269287
1993-08-27,15.0,15.0,15.0,15.0,0.0,3.085160732269287
1993-08-30,15.0,14.875,14.875,15.0,4000.0,3.085160732269287
1993-08-31,15.0,15.0,15.0,15.0,3000.0,3.085160732269287
1993-09-01,15.0,15.0,15.0,15.0,1600.0,3.085160732269287
1993-09-02,15.125,14.875,15.125,14.875,10000.0,3.059450626373291
